[2026-06-20 17:51:00.907] [INFO] Logger initialized
[2026-06-20 17:51:00.909] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 17:51:05.467] [EVT.SPAWN] Bush at (4664,4373)
[2026-06-20 17:51:05.551] [EVT.DEATH] Bush died at age 2,6s, energy -2,1
[2026-06-20 17:51:05.557] [EVT.SPAWN] Grass at (6124,3654)
[2026-06-20 17:51:05.557] [EVT.SPAWN] Mushroom at (5047,2568)
[2026-06-20 17:51:05.557] [EVT.SPAWN] Pine at (1107,2670)
[2026-06-20 17:51:05.557] [EVT.SPAWN] PineTree at (2067,3149)
[2026-06-20 17:51:05.645] [EVT.SPAWN] Pine at (1123,2706)
[2026-06-20 17:51:05.649] [EVT.DEATH] Grass died at age 2,7s, energy -0,4
[2026-06-20 17:51:05.657] [EVT.SPAWN] GrassTuft at (5619,2192)
[2026-06-20 17:51:05.756] [EVT.SPAWN] Grass at (658,2561)
[2026-06-20 17:51:05.756] [EVT.SPAWN] Plant at (805,78)
[2026-06-20 17:51:05.756] [EVT.SPAWN] Coral at (6301,935)
[2026-06-20 17:51:05.757] [EVT.SPAWN] Pine at (5248,500)
[2026-06-20 17:51:05.757] [EVT.SPAWN] Kelp at (5666,1232)
[2026-06-20 17:51:05.856] [EVT.SPAWN] Plant at (3061,765)
[2026-06-20 17:51:05.857] [EVT.SPAWN] Cactus at (1692,2463)
[2026-06-20 17:51:05.957] [EVT.SPAWN] BerryBush at (3143,2096)
[2026-06-20 17:51:05.957] [EVT.SPAWN] Toadstool at (3780,4483)
[2026-06-20 17:51:05.957] [EVT.SPAWN] Mushroom at (5608,3113)
[2026-06-20 17:51:05.957] [EVT.SPAWN] Moss at (2253,2157)
[2026-06-20 17:51:05.957] [EVT.SPAWN] Pine at (3919,4725)
[2026-06-20 17:51:06.057] [EVT.SPAWN] BerryBush at (753,1418)
[2026-06-20 17:51:06.057] [EVT.SPAWN] Cactus at (4438,558)
[2026-06-20 17:51:06.057] [EVT.SPAWN] Plant at (2433,1153)
[2026-06-20 17:51:06.057] [EVT.SPAWN] OakTree at (49,2702)
[2026-06-20 17:51:06.057] [EVT.SPAWN] PineTree at (621,188)
[2026-06-20 17:51:06.057] [EVT.SPAWN] BerryBush at (3518,2254)
[2026-06-20 17:51:06.057] [EVT.SPAWN] Moss at (4949,654)
[2026-06-20 17:51:06.164] [EVT.SPAWN] Toadstool at (1554,278)
[2026-06-20 17:51:06.262] [EVT.SPAWN] Pine at (1196,4560)
[2026-06-20 17:51:06.262] [EVT.SPAWN] BerryBush at (1342,2959)
[2026-06-20 17:51:06.262] [EVT.SPAWN] PineTree at (4069,3681)
[2026-06-20 17:51:06.262] [EVT.SPAWN] Flowers at (4769,3944)
[2026-06-20 17:51:06.262] [EVT.SPAWN] Bush at (553,968)
[2026-06-20 17:51:06.262] [EVT.SPAWN] Plant at (2718,3617)
[2026-06-20 17:51:06.262] [EVT.SPAWN] Kelp at (3574,3028)
[2026-06-20 17:51:06.371] [EVT.SPAWN] Mushroom at (5221,2742)
[2026-06-20 17:51:06.371] [EVT.SPAWN] Plant at (625,725)
[2026-06-20 17:51:06.445] [EVT.SPAWN] Moss at (4845,3866)
[2026-06-20 17:51:06.445] [EVT.SPAWN] Pine at (4188,1362)
[2026-06-20 17:51:06.456] [EVT.SPAWN] Plant at (1341,678)
[2026-06-20 17:51:06.456] [EVT.SPAWN] Flowers at (5224,4502)
[2026-06-20 17:51:06.456] [EVT.SPAWN] Pine at (4132,1447)
[2026-06-20 17:51:06.456] [EVT.SPAWN] BerryBush at (5657,172)
[2026-06-20 17:51:06.456] [EVT.SPAWN] Bush at (1814,881)
[2026-06-20 17:51:06.456] [EVT.SPAWN] Pine at (1082,2686)
